time,  web0,  db0,  memcached0, 
0,  33.52,  27.95,  3.0, 
2,  44.1,  30.28,  4.01, 
4,  35.63,  30.41,  3.36, 
6,  38.56,  22.82,  3.54, 
8,  43.73,  22.59,  3.98, 
10,  21.12,  18.57,  2.1, 
12,  26.66,  18.65,  3.19, 
14,  35.7,  30.25,  3.82, 
16,  26.67,  24.87,  3.16, 
18,  20.64,  19.53,  2.15, 
20,  14.55,  16.57,  1.43, 
22,  28.62,  19.2,  2.85, 
24,  42.8,  29.13,  4.02, 
26,  31.43,  21.27,  3.32, 
28,  25.41,  15.5,  2.31, 
30,  17.62,  14.12,  1.73, 
32,  21.88,  9.85,  2.35, 
34,  49.85,  65.61,  5.12, 
36,  28.69,  32.21,  2.6, 
38,  33.18,  30.98,  3.11, 
40,  22.33,  19.12,  2.29, 
42,  22.12,  18.4,  2.37, 
44,  47.07,  30.33,  5.13, 
46,  31.49,  20.69,  3.14, 
48,  27.28,  12.43,  2.97, 
50,  18.69,  14.34,  1.8, 
52,  22.48,  18.45,  2.38, 
54,  36.62,  53.87,  3.51, 
56,  27.76,  32.21,  2.53, 
58,  32.8,  29.99,  3.75, 
60,  23.31,  17.58,  2.39, 
62,  18.88,  14.24,  1.94, 
64,  39.32,  22.46,  3.9, 
66,  32.22,  21.99,  3.22, 
68,  29.76,  15.04,  3.38, 
70,  23.04,  18.71,  2.43, 
72,  26.91,  23.31,  3.23, 
74,  46.69,  51.41,  4.5, 
76,  36.28,  36.91,  3.61, 
78,  28.9,  27.2,  2.9, 
80,  23.52,  17.72,  2.37, 
82,  19.32,  14.63,  2.06, 
84,  34.88,  9.96,  3.47, 
86,  31.81,  20.2,  3.55, 
88,  27.08,  10.91,  2.82, 
90,  23.74,  19.19,  2.32, 
92,  23.56,  18.53,  2.4, 
94,  49.89,  73.25,  4.9, 
96,  31.36,  30.24,  3.07, 
98,  36.83,  28.1,  3.92, 
100,  21.28,  19.5,  2.22, 
102,  26.49,  21.4,  2.86, 
104,  44.11,  15.29,  4.63, 
106,  25.92,  12.64,  2.55, 
108,  26.03,  16.01,  2.67, 
110,  22.39,  17.88,  2.19, 
112,  16.18,  14.34,  1.5, 
114,  38.68,  53.28,  3.86, 
116,  30.17,  30.12,  3.02, 
118,  27.12,  27.35,  2.85, 
120,  30.65,  44.1,  2.97, 
122,  19.45,  15.77,  1.92, 
124,  36.73,  17.11,  3.9, 
126,  20.52,  9.75,  2.37, 
128,  40.47,  26.62,  4.26, 
130,  40.37,  29.93,  3.7, 
132,  15.15,  12.44,  1.47, 
134,  36.19,  61.79,  3.48, 
136,  16.89,  31.98,  2.09, 
138,  31.76,  31.01,  3.41, 
140,  43.25,  39.74,  4.2, 
142,  21.22,  20.08,  2.77, 
144,  45.79,  27.99,  5.05, 
146,  22.73,  17.05,  2.42, 
148,  34.3,  25.56,  3.78, 
150,  32.86,  17.77,  3.1, 
152,  22.54,  19.09,  2.72, 
154,  49.85,  63.77,  5.12, 
156,  45.3,  48.07,  4.42, 
158,  32.69,  32.15,  2.99, 
160,  30.11,  32.34,  2.86, 
162,  24.65,  18.1,  2.87, 
164,  53.03,  26.62,  5.92, 
166,  41.73,  25.28,  4.56, 
168,  37.54,  22.73,  3.58, 
170,  28.44,  18.51,  2.84, 
172,  23.58,  19.09,  2.43, 
174,  51.7,  60.54,  5.3, 
176,  37.84,  39.68,  3.88, 
178,  29.38,  30.13,  3.5, 
180,  33.81,  36.68,  3.22, 
182,  24.7,  27.48,  2.92, 
184,  50.34,  32.3,  5.43, 
186,  27.08,  17.72,  2.62, 
188,  32.66,  20.23,  3.42, 
190,  31.74,  21.35,  3.28, 
192,  15.07,  2.46,  1.46, 
194,  40.15,  51.65,  4.25, 
196,  40.35,  58.65,  4.18, 
198,  35.89,  33.37,  3.93, 
200,  36.53,  40.05,  3.87, 
202,  32.03,  32.6,  2.76, 
204,  45.0,  27.6,  4.41, 
206,  42.05,  34.06,  4.59, 
208,  36.7,  23.56,  4.16, 
210,  35.84,  23.65,  3.7, 
212,  21.45,  16.37,  2.26, 
214,  42.89,  40.51,  4.38, 
216,  59.34,  69.66,  5.72, 
218,  41.96,  45.06,  5.02, 
220,  47.58,  54.06,  4.6, 
222,  18.05,  9.07,  1.97, 
224,  39.43,  23.42,  4.07, 
226,  61.88,  34.03,  6.41, 
228,  41.97,  39.28,  4.51, 
230,  46.67,  29.74,  4.96, 
232,  28.69,  25.43,  3.34, 
234,  33.52,  29.12,  3.43, 
236,  60.62,  91.12,  6.09, 
238,  39.33,  32.32,  4.33, 
240,  37.29,  33.77,  3.52, 
242,  21.85,  17.47,  2.37, 
244,  41.87,  34.86,  4.46, 
246,  66.54,  32.29,  6.54, 
248,  36.54,  29.09,  3.73, 
250,  30.08,  18.86,  3.14, 
252,  19.68,  14.54,  1.94, 
254,  32.38,  18.02,  3.47, 
256,  67.33,  64.49,  6.57, 
258,  30.0,  27.02,  3.38, 
260,  25.45,  19.76,  2.78, 
